Customer ID,Full Name,Date of Purchase,Age,State,MTN Device,Gender,Satisfaction Rate,Customer Review,Customer Tenure in months,Subscription Plan,Unit Price,Number of Times Purchased,Total Revenue,Data Usage,Customer Churn Status,Reasons for Churn,Subscription Plan_encoded,tenure_x_Data Usage,charge_per_usage,Age_binned
CUST0075,Tega Medina,Feb-25,31,Kogi,4G Router,Female,1,Poor,56,10GB+10mins Monthly Plan,4500,12,54000,169.53,No,,2,9493.68,316.65982525068904,Young
CUST0075,Tega Medina,Feb-25,31,Kogi,Broadband MiFi,Female,1,Poor,56,120GB Monthly Broadband Plan,24000,9,216000,73.83,No,,4,4134.48,2886.542830415609,Young
CUST0076,Nura Mcneil,Feb-25,70,Kano,5G Broadband Router,Female,3,Good,2,30GB Monthly Broadband Plan,9000,5,45000,36.69,No,,15,73.38,1193.9506500397983,Senior
CUST0076,Nura Mcneil,Feb-25,70,Kano,4G Router,Female,3,Good,2,165GB Monthly Plan,35000,1,35000,14.38,No,,7,28.76,2275.6827048114433,Senior
CUST0077,Chinedu Pitts,Mar-25,43,Jigawa,5G Broadband Router,Female,2,Fair,30,30GB Monthly Broadband Plan,9000,20,180000,31.54,No,,15,946.1999999999999,5531.653349723418,Middle
CUST0077,Chinedu Pitts,Mar-25,43,Jigawa,Mobile SIM Card,Female,2,Fair,30,2.5GB 2-Day Plan,900,9,8100,134.96,No,,9,4048.8,59.57634598411297,Middle
CUST0077,Chinedu Pitts,Mar-25,43,Jigawa,Broadband MiFi,Female,2,Fair,30,60GB Monthly Broadband Plan,14500,16,232000,132.56,No,,18,3976.8,1737.0470200658879,Middle
CUST0078,Alabo Kelly,Jan-25,69,Akwa Ibom,Mobile SIM Card,Male,3,Good,49,1GB+1.5mins Daily Plan,500,13,6500,9.56,No,,8,468.44,615.530303030303,Senior
CUST0078,Alabo Kelly,Jan-25,69,Akwa Ibom,5G Broadband Router,Male,3,Good,49,30GB Monthly Broadband Plan,9000,10,90000,2.03,No,,15,99.46999999999998,29702.970297029704,Senior
CUST0079,Fatima Pennington,Jan-25,33,Edo,Mobile SIM Card,Female,1,Poor,21,165GB Monthly Plan,35000,8,280000,106.75,No,,7,2241.75,2598.6078886310906,Young
CUST0079,Fatima Pennington,Jan-25,33,Edo,Broadband MiFi,Female,1,Poor,21,120GB Monthly Broadband Plan,24000,12,288000,111.97,No,,4,2351.37,2549.349384792423,Young
CUST0080,Kunle Williams,Feb-25,66,Rivers,Mobile SIM Card,Female,1,Poor,2,20GB Monthly Plan,7500,13,97500,58.26,No,,11,116.52,1645.2919338508268,Mature
CUST0080,Kunle Williams,Feb-25,66,Rivers,5G Broadband Router,Female,1,Poor,2,30GB Monthly Broadband Plan,9000,6,54000,193.26,No,,15,386.52,277.97796767219194,Mature
CUST0080,Kunle Williams,Feb-25,66,Rivers,4G Router,Female,1,Poor,2,165GB Monthly Plan,35000,12,420000,166.49,No,,7,332.98,2507.612394769837,Mature
CUST0081,Chinedu Ortiz,Feb-25,71,Anambra,5G Broadband Router,Male,5,Excellent,28,200GB Monthly Broadband Plan,25000,3,75000,155.93,Yes,Better Offers from Competitors,10,4366.04,477.9200917606576,Senior
CUST0081,Chinedu Ortiz,Feb-25,71,Anambra,Broadband MiFi,Male,5,Excellent,28,120GB Monthly Broadband Plan,24000,17,408000,126.83,Yes,Better Offers from Competitors,4,3551.24,3191.73902839709,Senior
CUST0082,Michael Ortiz,Feb-25,40,Ekiti,4G Router,Female,2,Fair,47,10GB+10mins Monthly Plan,4500,3,13500,152.16,Yes,Costly Data Plans,2,7151.5199999999995,88.14311830765213,Young
CUST0083,Shehu Holt,Mar-25,79,Sokoto,Mobile SIM Card,Female,3,Good,44,1GB+1.5mins Daily Plan,500,19,9500,159.37,Yes,Poor Network,8,7012.280000000001,59.238012097025624,Senior
CUST0083,Shehu Holt,Mar-25,79,Sokoto,5G Broadband Router,Female,3,Good,44,30GB Monthly Broadband Plan,9000,3,27000,70.71,Yes,Poor Network,15,3111.24,376.5165248919258,Senior
CUST0084,Maryam Velez,Mar-25,75,Nasarawa,Mobile SIM Card,Male,3,Good,4,12.5GB Monthly Plan,5500,2,11000,116.28,Yes,Better Offers from Competitors,3,465.12,93.79263301500681,Senior
CUST0085,Alabo Turner,Feb-25,40,Niger,Broadband MiFi,Female,1,Poor,33,150GB FUP Monthly Unlimited,20000,15,300000,8.31,No,,5,274.23,32223.415682062296,Young
CUST0085,Alabo Turner,Feb-25,40,Niger,5G Broadband Router,Female,1,Poor,33,1.5TB Yearly Broadband Plan,150000,20,3000000,105.05,No,,1,3466.65,28288.54314002829,Young
CUST0086,Amina Rivas,Feb-25,62,Gombe,5G Broadband Router,Female,3,Good,25,150GB FUP Monthly Unlimited,20000,18,360000,66.27,No,,5,1656.75,5351.56830682325,Mature
CUST0087,Omamuzo Guerrero,Jan-25,52,Edo,5G Broadband Router,Male,5,Excellent,22,450GB 3-Month Broadband Plan,75000,3,225000,26.23,No,,16,577.0600000000001,8262.94528094014,Middle
CUST0087,Omamuzo Guerrero,Jan-25,52,Edo,Mobile SIM Card,Male,5,Excellent,22,1GB+1.5mins Daily Plan,500,11,5500,112.0,No,,8,2464.0,48.67256637168141,Middle
CUST0088,Amaka Brown,Mar-25,27,Kwara,Mobile SIM Card,Female,3,Good,2,500MB Daily Plan,350,5,1750,200.0,Yes,Poor Customer Service,17,400.0,8.706467661691542,Very Young
CUST0088,Amaka Brown,Mar-25,27,Kwara,Broadband MiFi,Female,3,Good,2,30GB Monthly Broadband Plan,9000,4,36000,59.51,Yes,Poor Customer Service,15,119.02,594.9429846306396,Very Young
CUST0089,Michael Schultz,Feb-25,20,Bayelsa,4G Router,Male,2,Fair,39,65GB Monthly Plan,16000,8,128000,82.47,Yes,Better Offers from Competitors,19,3216.33,1533.4850844614832,Very Young
CUST0089,Michael Schultz,Feb-25,20,Bayelsa,5G Broadband Router,Male,2,Fair,39,1.5TB Yearly Broadband Plan,150000,15,2250000,122.31,Yes,Better Offers from Competitors,1,4770.09,18246.695320736355,Very Young
CUST0089,Michael Schultz,Feb-25,20,Bayelsa,Mobile SIM Card,Male,2,Fair,39,500MB Daily Plan,350,10,3500,107.04,Yes,Better Offers from Competitors,17,4174.56,32.395409107737876,Very Young
CUST0090,John Montoya,Mar-25,40,Gombe,Mobile SIM Card,Female,4,Very Good,30,10GB+10mins Monthly Plan,4500,2,9000,174.66,No,,2,5239.8,51.23534099965843,Young
CUST0090,John Montoya,Mar-25,40,Gombe,Broadband MiFi,Female,4,Very Good,30,60GB Monthly Broadband Plan,14500,18,261000,174.89,No,,18,5246.7,1483.8819716868497,Young
CUST0091,Ngozi Fox,Feb-25,31,Cross River,4G Router,Male,3,Good,49,10GB+10mins Monthly Plan,4500,12,54000,163.43,No,,2,8008.070000000001,328.4072249589491,Young
CUST0091,Ngozi Fox,Feb-25,31,Cross River,Mobile SIM Card,Male,3,Good,49,2.5GB 2-Day Plan,900,13,11700,83.27,No,,9,4080.23,138.83944464222145,Young
CUST0091,Ngozi Fox,Feb-25,31,Cross River,Broadband MiFi,Male,3,Good,49,120GB Monthly Broadband Plan,24000,13,312000,75.11,No,,4,3680.39,4099.329917225069,Young
CUST0092,Chinedu Burke,Jan-25,63,Osun,Broadband MiFi,Male,3,Good,21,300GB FUP Monthly Unlimited,30000,16,480000,183.52,No,,14,3853.92,2601.3440277476693,Mature
CUST0093,Amaka Webb,Jan-25,76,Nasarawa,Mobile SIM Card,Male,1,Poor,58,3.2GB 2-Day Plan,1000,8,8000,155.35,Yes,Better Offers from Competitors,13,9010.3,51.167252958106815,Senior
CUST0094,Maryam Tucker,Feb-25,31,Oyo,Broadband MiFi,Male,1,Poor,27,150GB FUP Monthly Unlimited,20000,1,20000,58.61,Yes,Fast Data Consumption,5,1582.47,335.5141754739138,Young
CUST0094,Maryam Tucker,Feb-25,31,Oyo,5G Broadband Router,Male,1,Poor,27,200GB Monthly Broadband Plan,25000,14,350000,48.49,Yes,Fast Data Consumption,10,1309.23,7072.135785007072,Young
CUST0094,Maryam Tucker,Feb-25,31,Oyo,Mobile SIM Card,Male,1,Poor,27,1.5GB 2-Day Plan,600,3,1800,133.04,Yes,Fast Data Consumption,0,3592.08,13.428827215756492,Young
CUST0095,Sarah James,Feb-25,62,Kaduna,5G Broadband Router,Male,1,Poor,25,30GB Monthly Broadband Plan,9000,3,27000,71.74,No,,15,1793.4999999999998,371.18504261754197,Mature
CUST0095,Sarah James,Feb-25,62,Kaduna,Mobile SIM Card,Male,1,Poor,25,7GB Monthly Plan,3500,4,14000,48.6,No,,20,1215.0,282.258064516129,Mature
CUST0096,Tega Turner,Mar-25,33,Rivers,Mobile SIM Card,Female,2,Fair,35,1.5GB 2-Day Plan,600,3,1800,162.39,No,,0,5683.65,11.016586082379584,Young
CUST0096,Tega Turner,Mar-25,33,Rivers,5G Broadband Router,Female,2,Fair,35,1.5TB Yearly Broadband Plan,150000,7,1050000,7.88,No,,1,275.8,118243.24324324325,Young
CUST0096,Tega Turner,Mar-25,33,Rivers,4G Router,Female,2,Fair,35,65GB Monthly Plan,16000,2,32000,158.33,No,,19,5541.55,200.8410217786983,Young
CUST0097,Ese Perez,Feb-25,55,Zamfara,5G Broadband Router,Female,3,Good,53,200GB Monthly Broadband Plan,25000,2,50000,172.5,Yes,High Call Tarriffs,10,9142.5,288.1844380403458,Mature
CUST0098,Tega Murray,Feb-25,50,Delta,5G Broadband Router,Female,4,Very Good,28,1.5TB Yearly Broadband Plan,150000,12,1800000,138.57,No,,1,3879.96,12896.754316830265,Middle
CUST0098,Tega Murray,Feb-25,50,Delta,Broadband MiFi,Female,4,Very Good,28,120GB Monthly Broadband Plan,24000,3,72000,53.71,No,,4,1503.88,1316.0299762383477,Middle
CUST0099,Boma Gonzalez,Mar-25,26,Kwara,5G Broadband Router,Male,3,Good,35,450GB 3-Month Broadband Plan,75000,15,1125000,33.75,Yes,Costly Data Plans,16,1181.25,32374.10071942446,Very Young
CUST0099,Boma Gonzalez,Mar-25,26,Kwara,4G Router,Male,3,Good,35,25GB Monthly Plan,9000,12,108000,89.7,Yes,Costly Data Plans,12,3139.5,1190.7386990077177,Very Young
CUST0099,Boma Gonzalez,Mar-25,26,Kwara,Mobile SIM Card,Male,3,Good,35,20GB Monthly Plan,7500,2,15000,55.27,Yes,Costly Data Plans,11,1934.45,266.5718855518038,Very Young
CUST0100,Kunle Davis,Feb-25,67,Gombe,Broadband MiFi,Male,5,Excellent,2,30GB Monthly Broadband Plan,9000,12,108000,47.58,No,,15,95.16,2223.1370934540964,Mature
CUST0100,Kunle Davis,Feb-25,67,Gombe,Mobile SIM Card,Male,5,Excellent,2,7GB Monthly Plan,3500,19,66500,76.88,No,,20,153.76,853.8777606574217,Mature
CUST0101,Bola Brown,Feb-25,35,Nasarawa,5G Broadband Router,Female,1,Poor,24,120GB Monthly Broadband Plan,24000,4,96000,50.3,No,,4,1207.1999999999998,1871.3450292397663,Young
CUST0101,Bola Brown,Feb-25,35,Nasarawa,Mobile SIM Card,Female,1,Poor,24,65GB Monthly Plan,16000,16,256000,147.27,No,,19,3534.4800000000005,1726.5798880420853,Young
CUST0101,Bola Brown,Feb-25,35,Nasarawa,Mobile SIM Card,Female,1,Poor,24,16.5GB+10mins Monthly Plan,6500,18,117000,77.7,No,,6,1864.8000000000002,1486.6581956797966,Young
CUST0102,Ifeanyi Burns,Mar-25,49,Edo,Mobile SIM Card,Female,4,Very Good,14,1.5GB 2-Day Plan,600,15,9000,179.79,Yes,Poor Customer Service,0,2517.06,49.7815144642956,Middle
CUST0103,Chinedu Barrera,Mar-25,56,Ekiti,4G Router,Male,3,Good,36,65GB Monthly Plan,16000,5,80000,197.03,No,,19,7093.08,403.97919507145383,Mature
CUST0103,Chinedu Barrera,Mar-25,56,Ekiti,Mobile SIM Card,Male,3,Good,36,500MB Daily Plan,350,1,350,158.18,No,,17,5694.4800000000005,2.198768689533861,Mature
CUST0103,Chinedu Barrera,Mar-25,56,Ekiti,Broadband MiFi,Male,3,Good,36,300GB FUP Monthly Unlimited,30000,12,360000,111.03,No,,14,3997.08,3213.4249754530038,Mature
CUST0104,Zina Fischer,Feb-25,32,Katsina,Broadband MiFi,Male,4,Very Good,20,300GB FUP Monthly Unlimited,30000,15,450000,128.65,No,,14,2573.0,3470.883146934053,Young
CUST0104,Zina Fischer,Feb-25,32,Katsina,Mobile SIM Card,Male,4,Very Good,20,12.5GB Monthly Plan,5500,12,66000,136.18,No,,3,2723.6000000000004,481.1196967487972,Young
CUST0105,Amaka Garcia,Jan-25,39,Borno,Mobile SIM Card,Female,1,Poor,33,25GB Monthly Plan,9000,8,72000,186.98,No,,12,6170.339999999999,383.0194701563996,Young
CUST0105,Amaka Garcia,Jan-25,39,Borno,Broadband MiFi,Female,1,Poor,33,300GB FUP Monthly Unlimited,30000,17,510000,189.52,No,,14,6254.160000000001,2676.88431660718,Young
CUST0106,Abubakar Holmes,Mar-25,26,Edo,Broadband MiFi,Male,2,Fair,41,120GB Monthly Broadband Plan,24000,5,120000,188.35,No,,4,7722.349999999999,633.7470293108001,Very Young
CUST0106,Abubakar Holmes,Mar-25,26,Edo,5G Broadband Router,Male,2,Fair,41,300GB FUP Monthly Unlimited,30000,20,600000,131.92,No,,14,5408.719999999999,4513.993379476377,Very Young
CUST0106,Abubakar Holmes,Mar-25,26,Edo,Mobile SIM Card,Male,2,Fair,41,7GB Monthly Plan,3500,19,66500,168.58,No,,20,6911.780000000001,392.14530015331997,Very Young
CUST0107,Bola Rogers,Mar-25,19,Katsina,4G Router,Male,2,Fair,42,10GB+10mins Monthly Plan,4500,10,45000,128.56,No,,2,5399.52,347.3294226613152,Very Young
CUST0108,John Rose,Jan-25,47,Kebbi,Mobile SIM Card,Female,1,Poor,30,7GB Monthly Plan,3500,11,38500,121.53,Yes,Fast Data Consumption,20,3645.9,314.2087652003591,Middle
CUST0108,John Rose,Jan-25,47,Kebbi,Broadband MiFi,Female,1,Poor,30,300GB FUP Monthly Unlimited,30000,12,360000,146.97,Yes,Fast Data Consumption,14,4409.1,2432.925593025613,Middle
CUST0109,Tamuno Bates,Feb-25,32,Gombe,Mobile SIM Card,Male,4,Very Good,21,65GB Monthly Plan,16000,13,208000,10.6,Yes,Fast Data Consumption,19,222.6,17931.03448275862,Young
CUST0110,Ibim Richards,Mar-25,47,Abuja (FCT),Mobile SIM Card,Female,2,Fair,60,1GB+1.5mins Daily Plan,500,3,1500,99.73,No,,8,5983.8,14.891293557033654,Middle
CUST0110,Ibim Richards,Mar-25,47,Abuja (FCT),4G Router,Female,2,Fair,60,165GB Monthly Plan,35000,8,280000,101.34,No,,7,6080.400000000001,2735.9781121751025,Middle
CUST0111,Fatima Blevins,Feb-25,61,Oyo,Mobile SIM Card,Male,5,Excellent,19,3.2GB 2-Day Plan,1000,9,9000,86.47,No,,13,1642.93,102.8924202583743,Mature
CUST0111,Fatima Blevins,Feb-25,61,Oyo,4G Router,Male,5,Excellent,19,25GB Monthly Plan,9000,12,108000,152.89,No,,12,2904.91,701.799987003704,Mature
CUST0111,Fatima Blevins,Feb-25,61,Oyo,Broadband MiFi,Male,5,Excellent,19,30GB Monthly Broadband Plan,9000,19,171000,80.42,No,,15,1527.98,2100.2210759027266,Mature
CUST0112,Bala Smith,Feb-25,62,Cross River,Broadband MiFi,Male,5,Excellent,25,60GB Monthly Broadband Plan,14500,11,159500,74.95,Yes,Relocation,18,1873.75,2100.065832784727,Mature
CUST0112,Bala Smith,Feb-25,62,Cross River,Mobile SIM Card,Male,5,Excellent,25,16.5GB+10mins Monthly Plan,6500,5,32500,187.82,Yes,Relocation,6,4695.5,172.12159728842283,Mature
CUST0112,Bala Smith,Feb-25,62,Cross River,5G Broadband Router,Male,5,Excellent,25,60GB Monthly Broadband Plan,14500,13,188500,120.69,Yes,Relocation,18,3017.25,1549.0179965486072,Mature
CUST0113,Michael Evans,Mar-25,21,Rivers,4G Router,Male,4,Very Good,9,25GB Monthly Plan,9000,11,99000,186.31,No,,12,1676.79,528.5355827238268,Very Young
CUST0114,Amina Todd,Feb-25,66,Abia,5G Broadband Router,Female,5,Excellent,33,200GB Monthly Broadband Plan,25000,14,350000,134.92,Yes,Better Offers from Competitors,10,4452.36,2575.044143613891,Mature
CUST0115,Maryam Smith,Feb-25,19,Taraba,Mobile SIM Card,Female,1,Poor,42,1.5GB 2-Day Plan,600,8,4800,164.42,No,,0,6905.639999999999,29.01704751541531,Very Young
CUST0116,Bola Garcia,Mar-25,30,Benue,Mobile SIM Card,Male,4,Very Good,29,16.5GB+10mins Monthly Plan,6500,16,104000,155.11,Yes,High Call Tarriffs,6,4498.1900000000005,666.1969124335404,Young
CUST0117,Sade Collins,Mar-25,33,Bauchi,4G Router,Male,4,Very Good,36,25GB Monthly Plan,9000,9,81000,109.48,No,,12,3941.28,733.1643736422882,Young
CUST0117,Sade Collins,Mar-25,33,Bauchi,Mobile SIM Card,Male,4,Very Good,36,12.5GB Monthly Plan,5500,8,44000,38.86,No,,3,1398.96,1103.8635223281485,Young
CUST0118,Zainab Garcia,Mar-25,54,Osun,5G Broadband Router,Female,2,Fair,50,200GB Monthly Broadband Plan,25000,9,225000,112.32,No,,10,5616.0,1985.5277091422522,Middle
CUST0118,Zainab Garcia,Mar-25,54,Osun,4G Router,Female,2,Fair,50,25GB Monthly Plan,9000,18,162000,24.81,No,,12,1240.5,6276.636962417668,Middle
CUST0119,Omamuzo Terry,Jan-25,66,Ekiti,5G Broadband Router,Male,3,Good,19,1.5TB Yearly Broadband Plan,150000,16,2400000,131.37,No,,1,2496.03,18130.996449346527,Mature
CUST0120,Fatima Lindsey,Mar-25,41,Adamawa,4G Router,Female,2,Fair,60,10GB+10mins Monthly Plan,4500,2,9000,127.77,Yes,High Call Tarriffs,2,7666.2,69.89205560301313,Young
CUST0120,Fatima Lindsey,Mar-25,41,Adamawa,Broadband MiFi,Female,2,Fair,60,30GB Monthly Broadband Plan,9000,16,144000,82.95,Yes,High Call Tarriffs,15,4977.0,1715.3067301965455,Young
CUST0120,Fatima Lindsey,Mar-25,41,Adamawa,5G Broadband Router,Female,2,Fair,60,150GB FUP Monthly Unlimited,20000,5,100000,136.4,Yes,High Call Tarriffs,5,8184.0,727.802037845706,Young
CUST0121,Tunde Smith,Feb-25,36,Kogi,Broadband MiFi,Female,3,Good,31,120GB Monthly Broadband Plan,24000,2,48000,147.87,No,,4,4583.97,322.4289648686774,Young
CUST0121,Tunde Smith,Feb-25,36,Kogi,Mobile SIM Card,Female,3,Good,31,1.5GB 2-Day Plan,600,6,3600,83.87,No,,0,2599.9700000000003,42.41781548250265,Young
CUST0121,Tunde Smith,Feb-25,36,Kogi,5G Broadband Router,Female,3,Good,31,30GB Monthly Broadband Plan,9000,13,117000,199.44,No,,15,6182.64,583.7158251845939,Young
CUST0122,Grace Fowler,Mar-25,39,Cross River,5G Broadband Router,Male,5,Excellent,1,1.5TB Yearly Broadband Plan,150000,5,750000,177.91,No,,1,177.91,4192.051869655134,Young
CUST0122,Grace Fowler,Mar-25,39,Cross River,4G Router,Male,5,Excellent,1,165GB Monthly Plan,35000,4,140000,54.93,No,,7,54.93,2503.1289111389237,Young
CUST0123,Tega Chen,Feb-25,36,Sokoto,4G Router,Female,1,Poor,46,165GB Monthly Plan,35000,17,595000,165.48,No,,7,7612.08,3574.002883229217,Young
CUST0123,Tega Chen,Feb-25,36,Sokoto,Broadband MiFi,Female,1,Poor,46,300GB FUP Monthly Unlimited,30000,4,120000,17.8,No,,14,818.8000000000001,6382.978723404255,Young
CUST0124,Shehu Nguyen,Feb-25,33,Taraba,5G Broadband Router,Female,1,Poor,60,120GB Monthly Broadband Plan,24000,19,456000,116.7,Yes,Poor Customer Service,4,7002.0,3874.256584536958,Young
CUST0124,Shehu Nguyen,Feb-25,33,Taraba,4G Router,Female,1,Poor,60,65GB Monthly Plan,16000,12,192000,52.68,Yes,Poor Customer Service,19,3160.8,3576.751117734724,Young
CUST0125,Halima Aguilar,Feb-25,23,Delta,5G Broadband Router,Female,4,Very Good,20,120GB Monthly Broadband Plan,24000,8,192000,73.83,No,,4,1476.6,2565.815849258319,Very Young
CUST0125,Halima Aguilar,Feb-25,23,Delta,Mobile SIM Card,Female,4,Very Good,20,500MB Daily Plan,350,16,5600,191.49,No,,17,3829.8,29.09242038547457,Very Young
CUST0125,Halima Aguilar,Feb-25,23,Delta,Broadband MiFi,Female,4,Very Good,20,150GB FUP Monthly Unlimited,20000,20,400000,91.27,No,,5,1825.3999999999999,4335.103500596077,Very Young
CUST0126,Ejiro Ware,Feb-25,69,Taraba,Mobile SIM Card,Male,5,Excellent,49,16.5GB+10mins Monthly Plan,6500,3,19500,140.9,No,,6,6904.1,137.42071881606765,Senior
CUST0127,Ifeanyi Clayton,Feb-25,23,Zamfara,Mobile SIM Card,Male,2,Fair,37,12.5GB Monthly Plan,5500,17,93500,18.64,No,,3,689.6800000000001,4760.692464358452,Very Young
CUST0127,Ifeanyi Clayton,Feb-25,23,Zamfara,Broadband MiFi,Male,2,Fair,37,60GB Monthly Broadband Plan,14500,15,217500,161.83,No,,18,5987.71,1335.748940612909,Very Young
CUST0127,Ifeanyi Clayton,Feb-25,23,Zamfara,5G Broadband Router,Male,2,Fair,37,300GB FUP Monthly Unlimited,30000,15,450000,102.89,No,,14,3806.93,4331.5044758879585,Very Young
CUST0128,Sade Berry,Mar-25,75,Abia,Broadband MiFi,Male,1,Poor,26,300GB FUP Monthly Unlimited,30000,18,540000,140.23,No,,14,3645.9799999999996,3823.550237201728,Senior
CUST0128,Sade Berry,Mar-25,75,Abia,Mobile SIM Card,Male,1,Poor,26,2.5GB 2-Day Plan,900,3,2700,186.95,No,,9,4860.7,14.365522745411015,Senior
CUST0128,Sade Berry,Mar-25,75,Abia,Mobile SIM Card,Male,1,Poor,26,165GB Monthly Plan,35000,14,490000,6.83,No,,7,177.58,62579.82120051086,Senior
CUST0129,Shehu Lee,Feb-25,33,Kogi,Mobile SIM Card,Female,4,Very Good,58,16.5GB+10mins Monthly Plan,6500,12,78000,27.03,No,,6,1567.74,2782.7327863003925,Young
CUST0129,Shehu Lee,Feb-25,33,Kogi,Broadband MiFi,Female,4,Very Good,58,30GB Monthly Broadband Plan,9000,18,162000,36.11,No,,15,2094.38,4365.400161681488,Young
CUST0130,Tamuno Greer,Jan-25,32,Osun,Mobile SIM Card,Male,3,Good,49,500MB Daily Plan,350,12,4200,49.88,No,,17,2444.1200000000003,82.54716981132076,Young
CUST0130,Tamuno Greer,Jan-25,32,Osun,5G Broadband Router,Male,3,Good,49,300GB FUP Monthly Unlimited,30000,4,120000,55.49,No,,14,2719.01,2124.2697822623472,Young
CUST0130,Tamuno Greer,Jan-25,32,Osun,4G Router,Male,3,Good,49,65GB Monthly Plan,16000,14,224000,161.99,No,,19,7937.51,1374.317442787901,Young
CUST0131,Funke Hart,Jan-25,46,Ondo,Broadband MiFi,Male,4,Very Good,7,60GB Monthly Broadband Plan,14500,18,261000,88.07,No,,18,616.49,2930.2795554058607,Middle
CUST0131,Funke Hart,Jan-25,46,Ondo,Mobile SIM Card,Male,4,Very Good,7,500MB Daily Plan,350,2,700,151.0,No,,17,1057.0,4.605263157894737,Middle
CUST0131,Funke Hart,Jan-25,46,Ondo,5G Broadband Router,Male,4,Very Good,7,300GB FUP Monthly Unlimited,30000,10,300000,101.03,No,,14,707.21,2940.3116730373417,Middle
CUST0132,Nura Yang,Feb-25,56,Niger,Broadband MiFi,Male,5,Excellent,20,120GB Monthly Broadband Plan,24000,6,144000,176.0,Yes,Costly Data Plans,4,3520.0,813.5593220338983,Mature
CUST0132,Nura Yang,Feb-25,56,Niger,5G Broadband Router,Male,5,Excellent,20,450GB 3-Month Broadband Plan,75000,2,150000,111.39,Yes,Costly Data Plans,16,2227.8,1334.6383130171723,Mature
CUST0133,Oghene Cooper,Feb-25,64,Bauchi,Mobile SIM Card,Female,4,Very Good,45,500MB Daily Plan,350,10,3500,169.94,Yes,Fast Data Consumption,17,7647.3,20.475020475020475,Mature
CUST0134,Obinna Branch,Feb-25,75,Oyo,Broadband MiFi,Female,4,Very Good,27,300GB FUP Monthly Unlimited,30000,7,210000,18.95,Yes,Poor Customer Service,14,511.65,10526.315789473685,Senior
CUST0134,Obinna Branch,Feb-25,75,Oyo,4G Router,Female,4,Very Good,27,65GB Monthly Plan,16000,20,320000,54.06,Yes,Poor Customer Service,19,1459.6200000000001,5811.841627315655,Senior
CUST0135,Bola Anderson,Feb-25,25,Benue,Mobile SIM Card,Male,3,Good,31,10GB+10mins Monthly Plan,4500,4,18000,192.43,No,,2,5965.33,93.05691981595409,Very Young
CUST0136,John Hill,Feb-25,47,Ondo,Mobile SIM Card,Female,5,Excellent,59,16.5GB+10mins Monthly Plan,6500,10,65000,129.92,No,,6,7665.279999999999,496.48640391078527,Middle
CUST0136,John Hill,Feb-25,47,Ondo,4G Router,Female,5,Excellent,59,25GB Monthly Plan,9000,16,144000,72.25,No,,12,4262.75,1965.8703071672355,Middle
CUST0137,Zina Singh,Feb-25,28,Taraba,4G Router,Female,3,Good,59,10GB+10mins Monthly Plan,4500,18,81000,3.74,No,,2,220.66000000000003,17088.607594936708,Very Young
CUST0138,Ibim Brown,Feb-25,53,Plateau,Mobile SIM Card,Male,4,Very Good,22,16.5GB+10mins Monthly Plan,6500,11,71500,131.09,No,,6,2883.98,541.2976001211296,Middle
CUST0139,Saidu Holt,Mar-25,78,Yobe,4G Router,Female,2,Fair,11,65GB Monthly Plan,16000,3,48000,105.03,Yes,Relocation,19,1155.33,452.70206545317365,Senior
CUST0139,Saidu Holt,Mar-25,78,Yobe,5G Broadband Router,Female,2,Fair,11,30GB Monthly Broadband Plan,9000,14,126000,152.99,Yes,Relocation,15,1682.89,818.2349503214494,Senior
CUST0140,Amaka Vang,Feb-25,45,Kaduna,Mobile SIM Card,Male,5,Excellent,1,12.5GB Monthly Plan,5500,18,99000,3.64,No,,3,3.64,21336.20689655172,Middle
CUST0141,Ibim Faulkner,Mar-25,17,Kano,Mobile SIM Card,Female,1,Poor,35,3.2GB 2-Day Plan,1000,8,8000,105.11,No,,13,3678.85,75.3934596173782,Very Young
CUST0142,Bala Hood,Feb-25,48,Ekiti,Mobile SIM Card,Female,1,Poor,51,500MB Daily Plan,350,8,2800,198.05,No,,17,10100.550000000001,14.066817382567192,Middle
CUST0142,Bala Hood,Feb-25,48,Ekiti,5G Broadband Router,Female,1,Poor,51,120GB Monthly Broadband Plan,24000,3,72000,136.97,No,,4,6985.47,521.8525766470972,Middle
CUST0143,Bola Brooks,Feb-25,27,Kebbi,Mobile SIM Card,Female,1,Poor,25,165GB Monthly Plan,35000,11,385000,129.16,No,,7,3229.0,2957.897971727105,Very Young
CUST0143,Bola Brooks,Feb-25,27,Kebbi,Broadband MiFi,Female,1,Poor,25,120GB Monthly Broadband Plan,24000,4,96000,195.48,No,,4,4887.0,488.59934853420197,Very Young
CUST0143,Bola Brooks,Feb-25,27,Kebbi,Mobile SIM Card,Female,1,Poor,25,16.5GB+10mins Monthly Plan,6500,8,52000,183.87,No,,6,4596.75,281.2787364093687,Very Young
CUST0144,Fatima Wheeler,Jan-25,76,Akwa Ibom,Broadband MiFi,Male,3,Good,60,30GB Monthly Broadband Plan,9000,19,171000,192.31,No,,15,11538.6,884.5895194247581,Senior
CUST0144,Fatima Wheeler,Jan-25,76,Akwa Ibom,Mobile SIM Card,Male,3,Good,60,1.5GB 2-Day Plan,600,13,7800,150.57,No,,0,9034.199999999999,51.4613709837039,Senior
CUST0144,Fatima Wheeler,Jan-25,76,Akwa Ibom,4G Router,Male,3,Good,60,65GB Monthly Plan,16000,19,304000,60.21,No,,19,3612.6,4966.508740401895,Senior
